created_at,favorite_count,full_text,lang,retweet_count,username,cleaned_text,case_folded,tokens,filtered_tokens
Sun May 11 10:28:37 +0000 2025,129,moqeel sebelahan se mall gonjang ganjing lah couple lu? geli dikit paling mallnya,in,4,redhorse44,moqeel sebelahan se mall gonjang ganjing lah couple lu geli dikit paling mallnya,moqeel sebelahan se mall gonjang ganjing lah couple lu geli dikit paling mallnya,"['moqeel', 'sebelahan', 'se', 'mall', 'gonjang', 'ganjing', 'lah', 'couple', 'lu', 'geli', 'dikit', 'paling', 'mallnya']","['moqeel', 'sebelahan', 'mall', 'gonjang', 'ganjing', 'couple', 'lu', 'geli', 'dikit', 'mallnya']"
Wed May 07 12:50:44 +0000 2025,39,#JuniorMark : onetweet AU. ketika Juna bucin level max dan Marka pusing pacarnya kok bawel banget untung sayang. https://t.co/Zpp3JnDq1q,in,6,nataccai,onetweet AU ketika Juna bucin level max dan Marka pusing pacarnya kok bawel banget untung sayang,onetweet au ketika juna bucin level max dan marka pusing pacarnya kok bawel banget untung sayang,"['onetweet', 'au', 'ketika', 'juna', 'bucin', 'level', 'max', 'dan', 'marka', 'pusing', 'pacarnya', 'kok', 'bawel', 'banget', 'untung', 'sayang']","['onetweet', 'au', 'juna', 'bucin', 'level', 'max', 'marka', 'pusing', 'pacarnya', 'bawel', 'banget', 'untung', 'sayang']"
Sat May 03 02:15:16 +0000 2025,242,yang selalu nanyain pakek parfum apa wangi banget? inih loh gaesss . Lagi bucin sama parfum lokal satu ini yang wanginya fresh seger bikin mood bagus seharian https://t.co/SxmFXATQyn,in,130,nakkecillll,yang selalu nanyain pakek parfum apa wangi banget inih loh gaesss Lagi bucin sama parfum lokal satu ini yang wanginya fresh seger bikin mood bagus seharian,yang selalu nanyain pakek parfum apa wangi banget inih loh gaesss lagi bucin sama parfum lokal satu ini yang wanginya fresh seger bikin mood bagus seharian,"['yang', 'selalu', 'nanyain', 'pakek', 'parfum', 'apa', 'wangi', 'banget', 'inih', 'loh', 'gaesss', 'lagi', 'bucin', 'sama', 'parfum', 'lokal', 'satu', 'ini', 'yang', 'wanginya', 'fresh', 'seger', 'bikin', 'mood', 'bagus', 'seharian']","['nanyain', 'pakek', 'parfum', 'wangi', 'banget', 'inih', 'loh', 'gaesss', 'bucin', 'parfum', 'lokal', 'wanginya', 'fresh', 'seger', 'bikin', 'mood', 'bagus', 'seharian']"
Mon May 05 16:04:29 +0000 2025,457,@tanyakanrl aries ga suka di kejar. aries gampang suka tp gampang ilfeel jg. aries kl ud bucin seluruh dunia jg dikasih buat lu. aries sekalinya ga suka sm org lsg cut off ga pk basa basi. aries gampang marah tp gampang reda jg.,in,60,marcdaffodil,aries ga suka di kejar aries gampang suka tp gampang ilfeel jg aries kl ud bucin seluruh dunia jg dikasih buat lu aries sekalinya ga suka sm org lsg cut off ga pk basa basi aries gampang marah tp gampang reda jg,aries ga suka di kejar aries gampang suka tp gampang ilfeel jg aries kl ud bucin seluruh dunia jg dikasih buat lu aries sekalinya ga suka sm org lsg cut off ga pk basa basi aries gampang marah tp gampang reda jg,"['aries', 'ga', 'suka', 'di', 'kejar', 'aries', 'gampang', 'suka', 'tp', 'gampang', 'ilfeel', 'jg', 'aries', 'kl', 'ud', 'bucin', 'seluruh', 'dunia', 'jg', 'dikasih', 'buat', 'lu', 'aries', 'sekalinya', 'ga', 'suka', 'sm', 'org', 'lsg', 'cut', 'off', 'ga', 'pk', 'basa', 'basi', 'aries', 'gampang', 'marah', 'tp', 'gampang', 'reda', 'jg']","['aries', 'ga', 'suka', 'kejar', 'aries', 'gampang', 'suka', 'tp', 'gampang', 'ilfeel', 'jg', 'aries', 'kl', 'ud', 'bucin', 'dunia', 'jg', 'dikasih', 'lu', 'aries', 'sekalinya', 'ga', 'suka', 'sm', 'org', 'lsg', 'cut', 'ga', 'pk', 'basa', 'basi', 'aries', 'gampang', 'marah', 'tp', 'gampang', 'reda', 'jg']"
Sat May 10 13:50:58 +0000 2025,1929,Beginilah bun kalo suka tuh jangan nyerah sampe dia suka balik. Kan ku kejar sampai dapet dan kupastikan dia akan lebih bucin dariku. Tapi yaa inget juga kita hidup di dunia nyata dan muka kita gak kaya yiyong. #ResidentPlaybook #ResidentPlaybookEp9 https://t.co/XvatH8rKrT,in,400,verinagustianti,Beginilah bun kalo suka tuh jangan nyerah sampe dia suka balik Kan ku kejar sampai dapet dan kupastikan dia akan lebih bucin dariku Tapi yaa inget juga kita hidup di dunia nyata dan muka kita gak kaya yiyong,beginilah bun kalo suka tuh jangan nyerah sampe dia suka balik kan ku kejar sampai dapet dan kupastikan dia akan lebih bucin dariku tapi yaa inget juga kita hidup di dunia nyata dan muka kita gak kaya yiyong,"['beginilah', 'bun', 'kalo', 'suka', 'tuh', 'jangan', 'nyerah', 'sampe', 'dia', 'suka', 'balik', 'kan', 'ku', 'kejar', 'sampai', 'dapet', 'dan', 'kupastikan', 'dia', 'akan', 'lebih', 'bucin', 'dariku', 'tapi', 'yaa', 'inget', 'juga', 'kita', 'hidup', 'di', 'dunia', 'nyata', 'dan', 'muka', 'kita', 'gak', 'kaya', 'yiyong']","['bun', 'kalo', 'suka', 'tuh', 'nyerah', 'sampe', 'suka', 'ku', 'kejar', 'dapet', 'kupastikan', 'bucin', 'dariku', 'yaa', 'inget', 'hidup', 'dunia', 'nyata', 'muka', 'gak', 'kaya', 'yiyong']"
Tue May 06 03:54:52 +0000 2025,4,Eh gw tau kenapa Dohyun bucin banget sm Jiyeon eonni padahal beda umurnya 5 tahun. Karna Jiyeon aslinya lovable banget yaampuuuun Liat ini kelakuannya sampe bikin Jaewook tercengang Pasti kalo lagi sm Dohyun Jiyeon nih lebih gemesin &gt;.&lt; https://t.co/QCJU8zjp1d,in,0,auraaaw,Eh gw tau kenapa Dohyun bucin banget sm Jiyeon eonni padahal beda umurnya tahun Karna Jiyeon aslinya lovable banget yaampuuuun Liat ini kelakuannya sampe bikin Jaewook tercengang Pasti kalo lagi sm Dohyun Jiyeon nih lebih gemesin gtlt,eh gw tau kenapa dohyun bucin banget sm jiyeon eonni padahal beda umurnya tahun karna jiyeon aslinya lovable banget yaampuuuun liat ini kelakuannya sampe bikin jaewook tercengang pasti kalo lagi sm dohyun jiyeon nih lebih gemesin gtlt,"['eh', 'gw', 'tau', 'kenapa', 'dohyun', 'bucin', 'banget', 'sm', 'jiyeon', 'eonni', 'padahal', 'beda', 'umurnya', 'tahun', 'karna', 'jiyeon', 'aslinya', 'lovable', 'banget', 'yaampuuuun', 'liat', 'ini', 'kelakuannya', 'sampe', 'bikin', 'jaewook', 'tercengang', 'pasti', 'kalo', 'lagi', 'sm', 'dohyun', 'jiyeon', 'nih', 'lebih', 'gemesin', 'gtlt']","['eh', 'gw', 'tau', 'dohyun', 'bucin', 'banget', 'sm', 'jiyeon', 'eonni', 'beda', 'umurnya', 'karna', 'jiyeon', 'aslinya', 'lovable', 'banget', 'yaampuuuun', 'liat', 'kelakuannya', 'sampe', 'bikin', 'jaewook', 'tercengang', 'kalo', 'sm', 'dohyun', 'jiyeon', 'nih', 'gemesin', 'gtlt']"
Sat May 10 07:53:13 +0000 2025,1020,London walking tours I'll walk with you. ( 10 perfect days) Long #MOQEEL #FATSA Alternative Universe! https://t.co/4MnHdSSOGS,en,157,redhorse44,London walking tours Ill walk with you perfect days Long Alternative Universe,london walking tours ill walk with you perfect days long alternative universe,"['london', 'walking', 'tours', 'ill', 'walk', 'with', 'you', 'perfect', 'days', 'long', 'alternative', 'universe']","['london', 'walking', 'tours', 'ill', 'walk', 'perfect', 'days', 'long', 'alternative', 'universe']"
Fri May 09 15:27:51 +0000 2025,2749,Joss malu gak josss.. se twitter tau kelakuan bucin lo beneran dah.. Maluu gue maluuu liatnyaaa https://t.co/Vi6LmHnp69,in,348,lbd_lb,Joss malu gak josss se twitter tau kelakuan bucin lo beneran dah Maluu gue maluuu liatnyaaa,joss malu gak josss se twitter tau kelakuan bucin lo beneran dah maluu gue maluuu liatnyaaa,"['joss', 'malu', 'gak', 'josss', 'se', 'twitter', 'tau', 'kelakuan', 'bucin', 'lo', 'beneran', 'dah', 'maluu', 'gue', 'maluuu', 'liatnyaaa']","['joss', 'malu', 'gak', 'josss', 'twitter', 'tau', 'kelakuan', 'bucin', 'lo', 'beneran', 'dah', 'maluu', 'gue', 'maluuu', 'liatnyaaa']"
Fri May 02 09:20:00 +0000 2025,3,Mau mengingatkan jangan lupa bersihin memori dari pada pas fancam trus storage full https://t.co/c6PTg29nuB,in,0,bucinLDR,Mau mengingatkan jangan lupa bersihin memori dari pada pas fancam trus storage full,mau mengingatkan jangan lupa bersihin memori dari pada pas fancam trus storage full,"['mau', 'mengingatkan', 'jangan', 'lupa', 'bersihin', 'memori', 'dari', 'pada', 'pas', 'fancam', 'trus', 'storage', 'full']","['lupa', 'bersihin', 'memori', 'pas', 'fancam', 'trus', 'storage', 'full']"
Fri May 09 15:36:01 +0000 2025,10,Dua cwo bucin yg rela dimamam hantu demi orang terkasih #TheHauntedPalace #TheHauntedPalaceEp7 https://t.co/NTpxCZnsnt,in,0,hello_lily199,Dua cwo bucin yg rela dimamam hantu demi orang terkasih,dua cwo bucin yg rela dimamam hantu demi orang terkasih,"['dua', 'cwo', 'bucin', 'yg', 'rela', 'dimamam', 'hantu', 'demi', 'orang', 'terkasih']","['cwo', 'bucin', 'yg', 'rela', 'dimamam', 'hantu', 'orang', 'terkasih']"
Sat May 10 13:35:45 +0000 2025,4218,DW: Ada telfon tuh YY: Enaknya makan apa ya kita? DW: Ada telfon YY: Makan di mana kita? DW: Yiyoung ada telfon! Yiyoung kalo bucin jadi budeg wkwk #ResidentPlaybook https://t.co/PGLlhYyHms,in,519,dramacoKR,DW Ada telfon tuh YY Enaknya makan apa ya kita DW Ada telfon YY Makan di mana kita DW Yiyoung ada telfon Yiyoung kalo bucin jadi budeg,dw ada telfon tuh yy enaknya makan apa ya kita dw ada telfon yy makan di mana kita dw yiyoung ada telfon yiyoung kalo bucin jadi budeg,"['dw', 'ada', 'telfon', 'tuh', 'yy', 'enaknya', 'makan', 'apa', 'ya', 'kita', 'dw', 'ada', 'telfon', 'yy', 'makan', 'di', 'mana', 'kita', 'dw', 'yiyoung', 'ada', 'telfon', 'yiyoung', 'kalo', 'bucin', 'jadi', 'budeg']","['dw', 'telfon', 'tuh', 'yy', 'enaknya', 'makan', 'ya', 'dw', 'telfon', 'yy', 'makan', 'dw', 'yiyoung', 'telfon', 'yiyoung', 'kalo', 'bucin', 'budeg']"
Sat May 10 05:30:22 +0000 2025,8,Abis naik bus Jogja haritage yg rute Culinary gaes ALL FREE GA BAYAR APAPUN Yg mau keliling kota Jogja+dpt makan gratis bisa langsung reservasi aja ke Jogja Haritage yg rute culinary yaap Cuma rute culinary aja yg dpt makan selain itu ga dpt https://t.co/Xt8mSq1Vps,in,3,NiLuhDewi13,Abis naik bus Jogja haritage yg rute Culinary gaes ALL FREE GA BAYAR APAPUN Yg mau keliling kota Jogjadpt makan gratis bisa langsung reservasi aja ke Jogja Haritage yg rute culinary yaap Cuma rute culinary aja yg dpt makan selain itu ga dpt,abis naik bus jogja haritage yg rute culinary gaes all free ga bayar apapun yg mau keliling kota jogjadpt makan gratis bisa langsung reservasi aja ke jogja haritage yg rute culinary yaap cuma rute culinary aja yg dpt makan selain itu ga dpt,"['abis', 'naik', 'bus', 'jogja', 'haritage', 'yg', 'rute', 'culinary', 'gaes', 'all', 'free', 'ga', 'bayar', 'apapun', 'yg', 'mau', 'keliling', 'kota', 'jogjadpt', 'makan', 'gratis', 'bisa', 'langsung', 'reservasi', 'aja', 'ke', 'jogja', 'haritage', 'yg', 'rute', 'culinary', 'yaap', 'cuma', 'rute', 'culinary', 'aja', 'yg', 'dpt', 'makan', 'selain', 'itu', 'ga', 'dpt']","['abis', 'bus', 'jogja', 'haritage', 'yg', 'rute', 'culinary', 'gaes', 'free', 'ga', 'bayar', 'apapun', 'yg', 'keliling', 'kota', 'jogjadpt', 'makan', 'gratis', 'langsung', 'reservasi', 'aja', 'jogja', 'haritage', 'yg', 'rute', 'culinary', 'yaap', 'rute', 'culinary', 'aja', 'yg', 'dpt', 'makan', 'ga', 'dpt']"
Sun May 11 07:10:18 +0000 2025,10,/wp/ leora ini antara bucin apa bulol ya? hmm kalo kalian jd leora pilih bertahan apa run aja? Cintai Aku Chakra - kireina76 https://t.co/seMdszrJME,in,4,wattpadmenfess_,wp leora ini antara bucin apa bulol ya hmm kalo kalian jd leora pilih bertahan apa run aja Cintai Aku Chakra kireina,wp leora ini antara bucin apa bulol ya hmm kalo kalian jd leora pilih bertahan apa run aja cintai aku chakra kireina,"['wp', 'leora', 'ini', 'antara', 'bucin', 'apa', 'bulol', 'ya', 'hmm', 'kalo', 'kalian', 'jd', 'leora', 'pilih', 'bertahan', 'apa', 'run', 'aja', 'cintai', 'aku', 'chakra', 'kireina']","['wp', 'leora', 'bucin', 'bulol', 'ya', 'hmm', 'kalo', 'jd', 'leora', 'pilih', 'bertahan', 'run', 'aja', 'cintai', 'chakra', 'kireina']"
Sun May 04 12:54:22 +0000 2025,20028, kdm resident playbook TERNYATA YG NGIRIM SOAL KETEMU FIRST LOVE DI KANTIN RS ITU JAEIL SIAPA SANGKA FIRST LOVE DIA MBA WINTER?? maap jaeil uri gyeoul udah bucin dan dibucinin andrea https://t.co/h4eyyr8Sim,in,1244,kdrama_menfess,kdm resident playbook TERNYATA YG NGIRIM SOAL KETEMU FIRST LOVE DI KANTIN RS ITU JAEIL SIAPA SANGKA FIRST LOVE DIA MBA WINTER maap jaeil uri gyeoul udah bucin dan dibucinin andrea,kdm resident playbook ternyata yg ngirim soal ketemu first love di kantin rs itu jaeil siapa sangka first love dia mba winter maap jaeil uri gyeoul udah bucin dan dibucinin andrea,"['kdm', 'resident', 'playbook', 'ternyata', 'yg', 'ngirim', 'soal', 'ketemu', 'first', 'love', 'di', 'kantin', 'rs', 'itu', 'jaeil', 'siapa', 'sangka', 'first', 'love', 'dia', 'mba', 'winter', 'maap', 'jaeil', 'uri', 'gyeoul', 'udah', 'bucin', 'dan', 'dibucinin', 'andrea']","['kdm', 'resident', 'playbook', 'yg', 'ngirim', 'ketemu', 'first', 'love', 'kantin', 'rs', 'jaeil', 'sangka', 'first', 'love', 'mba', 'winter', 'maap', 'jaeil', 'uri', 'gyeoul', 'udah', 'bucin', 'dibucinin', 'andrea']"
Mon May 05 03:57:12 +0000 2025,600,ini pasti user am pennyroyaltea bakalan pingsan + spam stiker bucin dangdut kalo dd mentee kirim foto-foto pose tren kim seonho smile kaya gini by wa tapi view once @dancingpoem ehehehe https://t.co/eXiIaCXdn4,in,51,sehunalabyu,ini pasti user am pennyroyaltea bakalan pingsan spam stiker bucin dangdut kalo dd mentee kirim fotofoto pose tren kim seonho smile kaya gini by wa tapi view once ehehehe,ini pasti user am pennyroyaltea bakalan pingsan spam stiker bucin dangdut kalo dd mentee kirim fotofoto pose tren kim seonho smile kaya gini by wa tapi view once ehehehe,"['ini', 'pasti', 'user', 'am', 'pennyroyaltea', 'bakalan', 'pingsan', 'spam', 'stiker', 'bucin', 'dangdut', 'kalo', 'dd', 'mentee', 'kirim', 'fotofoto', 'pose', 'tren', 'kim', 'seonho', 'smile', 'kaya', 'gini', 'by', 'wa', 'tapi', 'view', 'once', 'ehehehe']","['user', 'pennyroyaltea', 'pingsan', 'spam', 'stiker', 'bucin', 'dangdut', 'kalo', 'dd', 'mentee', 'kirim', 'fotofoto', 'pose', 'tren', 'kim', 'seonho', 'smile', 'kaya', 'gini', 'wa', 'view', 'ehehehe']"
Tue May 06 03:18:44 +0000 2025,293,when lu aslinya bucin banget manja suka kangenan suka cerita random tapi semesta nyuruh lu buat sendiri,in,138,emsiplurimekdii,when lu aslinya bucin banget manja suka kangenan suka cerita random tapi semesta nyuruh lu buat sendiri,when lu aslinya bucin banget manja suka kangenan suka cerita random tapi semesta nyuruh lu buat sendiri,"['when', 'lu', 'aslinya', 'bucin', 'banget', 'manja', 'suka', 'kangenan', 'suka', 'cerita', 'random', 'tapi', 'semesta', 'nyuruh', 'lu', 'buat', 'sendiri']","['lu', 'aslinya', 'bucin', 'banget', 'manja', 'suka', 'kangenan', 'suka', 'cerita', 'random', 'semesta', 'nyuruh', 'lu']"
Sat May 10 13:52:22 +0000 2025,3,Gak heran anomali mel mel melani itu bucin setengah mati https://t.co/nX6N6jmap2,in,1,drunkhys,Gak heran anomali mel mel melani itu bucin setengah mati,gak heran anomali mel mel melani itu bucin setengah mati,"['gak', 'heran', 'anomali', 'mel', 'mel', 'melani', 'itu', 'bucin', 'setengah', 'mati']","['gak', 'heran', 'anomali', 'mel', 'mel', 'melani', 'bucin', 'mati']"
Sun May 11 09:51:01 +0000 2025,3,ini gambar kapan iah pas jaman bucin ajuy taun lalu kali yh https://t.co/KGU9jEXr8M,in,0,ciyachijeu,ini gambar kapan iah pas jaman bucin ajuy taun lalu kali yh,ini gambar kapan iah pas jaman bucin ajuy taun lalu kali yh,"['ini', 'gambar', 'kapan', 'iah', 'pas', 'jaman', 'bucin', 'ajuy', 'taun', 'lalu', 'kali', 'yh']","['gambar', 'iah', 'pas', 'jaman', 'bucin', 'ajuy', 'taun', 'kali', 'yh']"
